DIM_GHECAUSE_CODE,DIM_GHECAUSE_TITLE,VAL_DALY_RATE100K_NUMERIC,VAL_DTHS_RATE100K_NUMERIC,Gender,AgeGroup,NumericAge
500,Preterm birth complications,14361.55,153.09,Female,Under 1 year,0
1400,Congenital anomalies,12531.85,132.02,Female,Under 1 year,0
1505,Sudden infant death syndrome,2958.84,32.08,Female,Under 1 year,0
510,Birth asphyxia and birth trauma,2566.94,27.42,Female,Under 1 year,0
520,Neonatal sepsis and infections,1343.99,14.4,Female,Under 1 year,0
390,Lower respiratory infections,1015.83,10.98,Female,Under 1 year,0
110,Diarrhoeal diseases,688.89,7.31,Female,Under 1 year,0
1620,Interpersonal violence,600.89,6.44,Female,Under 1 year,0
1530,Road injury,287.25,2.99,Female,Under 1 year,0
1150,"Cardiomyopathy, myocarditis, endocarditis",269.51,2.84,Female,Under 1 year,0
1400,Congenital anomalies,560.28,1.075,Female,1 to 4 years,1
1400,Congenital anomalies,560.28,1.075,Female,1 to 4 years,2
1400,Congenital anomalies,560.28,1.075,Female,1 to 4 years,3
1400,Congenital anomalies,560.28,1.075,Female,1 to 4 years,4
1530,Road injury,188.52,0.4975,Female,1 to 4 years,1
1530,Road injury,188.52,0.4975,Female,1 to 4 years,2
1530,Road injury,188.52,0.4975,Female,1 to 4 years,3
1530,Road injury,188.52,0.4975,Female,1 to 4 years,4
1620,Interpersonal violence,175.95,0.4775,Female,1 to 4 years,1
1620,Interpersonal violence,175.95,0.4775,Female,1 to 4 years,2
1620,Interpersonal violence,175.95,0.4775,Female,1 to 4 years,3
1620,Interpersonal violence,175.95,0.4775,Female,1 to 4 years,4
1570,Drowning,165.28,0.46,Female,1 to 4 years,1
1570,Drowning,165.28,0.46,Female,1 to 4 years,2
1570,Drowning,165.28,0.46,Female,1 to 4 years,3
1570,Drowning,165.28,0.46,Female,1 to 4 years,4
390,Lower respiratory infections,149.5,0.415,Female,1 to 4 years,1
390,Lower respiratory infections,149.5,0.415,Female,1 to 4 years,2
390,Lower respiratory infections,149.5,0.415,Female,1 to 4 years,3
390,Lower respiratory infections,149.5,0.415,Female,1 to 4 years,4
751,Brain and nervous system cancers,53.44,0.145,Female,1 to 4 years,1
751,Brain and nervous system cancers,53.44,0.145,Female,1 to 4 years,2
751,Brain and nervous system cancers,53.44,0.145,Female,1 to 4 years,3
751,Brain and nervous system cancers,53.44,0.145,Female,1 to 4 years,4
1150,"Cardiomyopathy, myocarditis, endocarditis",67.79,0.135,Female,1 to 4 years,1
1150,"Cardiomyopathy, myocarditis, endocarditis",67.79,0.135,Female,1 to 4 years,2
